description,revelation,fortune,image_path
Galactic Center／銀河中心,越靠近核心，越需要穿越濃重的黑暗。,"銀河中心是一個巨大而深沉的所在，周圍有塵埃、熱氣與難以直視的力量。
它象徵核心問題，也象徵你內在最深處真正牽動一切的原因。

今天你可能會發現，某些表面的困擾，其實不是問題本身。
真正影響你的，可能藏在更深的地方：一個恐懼、一個執著、一個長久以來沒有被看見的需求。

這張星雲提醒你，不要只處理表面的雜訊。
如果你願意往內看一點，會發現答案其實一直在中心，只是你過去不太敢靠近。",image/star13.jpg
Galaxy Cluster RCS 032727-132623／星系團 RCS 032727-132623,有些光，會因為距離而變形，卻不曾真正消失。,"這張星系團呈現遙遠星光被重力拉伸的畫面，像某些訊息經過漫長距離後，變得彎曲、延展、難以辨認。
它象徵時間、距離，也象徵你對某件事的理解正在改變。

今天你可能會重新看待過去的某個決定、某段關係或某個人。
以前你以為自己看懂了，現在卻發現事情並不只有一種樣子。

這張星雲提醒你，不要急著用舊眼光定義一切。
有些真相需要時間才會顯影，有些光也要繞過很長的路，才能抵達你面前。",image/star14.jpg
Southern Crab Nebula／南蟹星雲,你正在長出新的形狀，不必再符合舊的自己。,"南蟹星雲有向外伸展的結構，像生命正在從中心慢慢打開。
它象徵蛻變、重組，也象徵一種新的自我保護。

今天你可能會意識到，自己已經不想再用過去的方式生活。
某些習慣曾經保護你，某些模式曾經讓你安全，但現在它們可能開始限制你。

這張星雲提醒你，成長不是否定過去，而是承認自己已經變了。
你可以感謝舊的自己曾經撐過那段路，但不必永遠住在同一個殼裡。",image/star15.jpg
Interacting Galaxies Arp 97／交互作用星系 Arp 97,真正的影響，常常發生在無聲的靠近裡。,"這張圖呈現兩個星系之間微妙的互動，它們不一定猛烈碰撞，卻已經在彼此的引力中改變形狀。
它象徵關係中的牽引、影響與慢慢靠近。

今天你需要注意身邊的人事物如何影響你。
有些影響很明顯，有些則很安靜，甚至是在你沒有察覺時，慢慢改變你的想法、情緒與選擇。

這張星雲提醒你：不是所有靠近都需要立刻定義。
有些關係正在形成，有些距離正在調整。先不要急著判斷它的名字，先感受它帶給你的方向。",image/star16.jpg
Interacting Galaxies Arp 81／交互作用星系 Arp 81,當兩股力量相遇，舊的平衡會被重新改寫。,"Arp 81 呈現兩個星系交互作用的狀態，像兩種能量彼此靠近、拉扯，也共同產生新的結構。
它象徵合作、關係，也象徵被他人牽動後的自我調整。

今天你可能會在互動中感受到某種不平衡。
也許你付出比較多，也許你正在學習如何不被對方牽著走。這張星雲提醒你，關係不是單方面的承受，而是彼此力量的重新排列。

如果今天有人觸動你，不要只看表面的情緒。
試著問自己：這段互動讓我看見了什麼？我是否需要重新站回自己的位置？",image/star17.jpg
Pinwheel Galaxy／風車星系,你正在旋轉，但不是迷失，而是在展開。,"風車星系有明顯的旋臂結構，像能量從中心一圈一圈向外展開。
它象徵擴張、流動，也象徵生命節奏的自然轉動。

今天你可能會覺得自己正在繞路，或事情沒有照著最直接的方式前進。
但這張星雲提醒你，不是所有成長都走直線。有些路需要旋轉，有些答案需要透過反覆經驗才會慢慢明白。

今天適合順著節奏前進，不必急著把所有事情定型。
你正在展開，不是在原地打轉。",image/star18.jpg
Galaxy M83／M83 星系,你的混亂之中，其實藏著一個更大的秩序。,"M83 星系呈現華麗而明亮的旋臂，像許多事件圍繞著中心慢慢運轉。
它提醒你，眼前看似複雜的事情，並不一定是失控，而是你還沒有看見全貌。

今天適合把視角拉遠一點。
不要只盯著單一事件，也不要被一時情緒牽著走。你需要的是回到核心，重新看清楚什麼才是真正重要的。

這張星雲提醒你，有些混亂其實是秩序正在形成。
當你不再急著控制每一個細節，整體的方向反而會變得清楚。",image/star19.jpg
Interstellar Bubble N44F／星際泡泡 N44F,風暴吹過的地方，也可能成為新的空間。,"這張星雲像被強烈星風吹出的空洞，周圍仍有炙熱的氣流與光。
它象徵清理、開闊，也象徵某種被推開後形成的新空間。

今天你可能會經歷一點不安，像是某些原本熟悉的狀態被打散了。
但這張星雲提醒你，空出來的地方並不是空白，而是新的可能正在進入。

不要急著把所有空位填滿。
有時候，生命需要先被清出一個空間，新的東西才有地方降落。
今天適合放慢、整理、讓自己重新呼吸。",image/star20.jpg
Star RS Puppis／船尾座 RS 星,有些光不是突然變亮，而是在一圈一圈的回應裡被看見。,"這張圖裡的亮星被雲氣包圍，像一顆心被柔軟的光暈層層托住。它不是孤單地發光，而是透過周圍的塵埃與反射，讓自己的存在變得更加明顯。

今天的你，可能不需要急著往外衝。
有些事情不是靠單方面用力就會有結果，而是需要環境、時機、他人的回應一起成形。

如果最近你覺得自己已經付出很多，卻還沒被真正看見，這張星圖提醒你：你的光並沒有消失，只是還在等待合適的介質去映照。
先穩住自己，保持節奏。會回應你的事物，正在慢慢靠近。",image/star21.jpg
Galaxy M82／M82 星系,燃燒不是毀壞，有時是生命用力誕生的聲音。,"M82 星系有強烈的紅色雲氣與藍白色星光，像一場正在內部爆發的能量。它不是安靜的星系，而是帶著一種劇烈、濃烈、正在改變的氣息。

今天你可能會感覺情緒比較強，或某件事推著你不得不面對。
有些話可能壓不住了，有些想法也不適合再繼續藏著。

這張星圖提醒你，強烈不一定代表失控。
有時候，一個人會感到煩躁、熱烈、急迫，是因為內在有新的東西正在誕生。

不要急著否定自己的火。
但也不要讓它燒傷自己。
把這股能量用在行動、創作、整理方向上，它會成為推你往前的力量。",image/star22.jpg
Interacting Galaxies Arp 274／交互作用星系 Arp 274,有些靠近，不是為了佔有，而是為了彼此照亮。,"這張星系像幾個光點在黑暗中彼此牽引，各自有自己的軌道，卻又無法完全切斷關聯。
它象徵關係、人際互動，也象徵你正在某段連結中重新看見自己。

今天你可能會特別在意某個人的態度，或感覺自己被某段關係牽動。
但這張星雲提醒你，不是所有關係都需要立刻定義，也不是所有靠近都代表必須綁在一起。

有些人出現，是讓你看見自己的光。
有些距離存在，是讓彼此還能保有完整。",image/star23.jpg
Star Cluster M15／M15 星團,越密集的光，越需要一個安靜的中心。,"M15 星團由無數星光聚集而成，像許多念頭、責任與情緒同時擠在一起。
它象徵累積、壓縮，也象徵群體之中仍然存在的核心力量。

今天你可能會覺得事情很多，身邊的聲音也很多。
有人需要你、事情推著你、時間催著你，讓你一時不知道該先處理哪一件。

這張星雲提醒你，越是混雜的時候，越不要被外界帶著跑。
先回到自己的中心，確認最重要的是什麼。
只要中心穩住，再多的光也不會讓你迷失。",image/star24.jpg
Cat’s Eye Nebula／貓眼星雲,真正的洞察，來自安靜地看穿表象。,"貓眼星雲像一隻凝視宇宙的眼睛，層層光暈包裹著中心，既神秘又清醒。
它象徵觀察、直覺與內在的判斷力。

今天你可能會看穿一些事情。
也許是某個人的言外之意，也許是某件事背後真正的原因。你不一定需要立刻說破，但你心裡會開始明白。

這張星雲提醒你，今天不要只聽表面的話，也不要急著被情緒帶走。
靜下來看，你會發現答案其實早已藏在細節裡。",image/star25.jpg
Comet ISON／ISON 彗星,有些靠近，是為了燃燒；有些離開，是為了成全。,"ISON 彗星在黑暗中拖著微弱的光，像一段正在靠近太陽的旅程。
它象徵冒險、短暫的明亮，也象徵一種無法回頭的前進。

今天你可能會有想衝一把的念頭，或感覺某件事已經到了不能再拖的時候。
但這張星雲提醒你，靠近光的過程也會帶來消耗。

不是所有熱烈都能長久，不是所有選擇都需要留下。
有些經歷的意義，不在於結果，而在於它曾經照亮你某一段路。",image/star26.jpg
Star-Forming Region N11B／恆星誕生區 N11B,新的事物，常在混濁與未明之中開始。,"這張星雲像一片雲氣濃厚的誕生地，光還沒有完全穿透，生命卻已經在其中形成。
它象徵開始、孕育，也象徵尚未成熟的可能。

今天你可能正在醞釀一件新事。
它也許還不清楚，還沒有完整的計畫，甚至連你自己都說不準它最後會變成什麼。

但這張星雲提醒你，不要因為現在看不清，就否定它的存在。
很多真正重要的開始，一開始都不是閃亮登場，而是在混沌中慢慢長出形狀。",image/star27.jpg
Galaxy Cluster Abell 2744／阿貝爾 2744 星系團,你看見的，只是龐大力量浮出的其中一角。,"Abell 2744 像一片深遠的宇宙場域，許多星系分布其中，背後還藏著看不見的引力。
它象徵深層影響、隱藏力量，也象徵事情背後更大的脈絡。

今天你可能會發現，某件事沒有表面那麼簡單。
你以為只是單一問題，但其實牽涉到更深的原因、更久的累積，或更多人的影響。

這張星雲提醒你，先不要急著下判斷。
有些答案需要拉遠距離才看得懂。
當你願意看見整體，原本混亂的線索會慢慢連起來。",image/star28.jpg
Nebula NGC 1748／NGC 1748 星雲,微弱的光，也能在沉暗之處撐開一片空間。,"這張星雲有一種暗紅、深沉的感覺，像光被包在厚重的雲氣裡，還沒有完全展開。
它象徵內在的能量、未被看見的努力，也象徵正在緩慢成形的希望。

今天你可能會覺得自己的狀態不是很明亮。
有些事情還卡著，有些心情也還沒有被整理好。

但這張星雲提醒你，光不一定要很大才算存在。
只要你還願意往前一點，哪怕只是很小的一步，都已經在改變黑暗的形狀。",image/star29.jpg
Swan Nebula／天鵝星雲,柔軟不是退讓，而是一種能穿過風的力量。,"天鵝星雲的色彩像雲氣與火光交疊，既柔和又有深處的力量。
它象徵優雅、流動，也象徵在混亂中保持姿態。

今天你可能會遇到一些不容易直接對抗的情況。
若太用力，反而會讓自己更累；若完全退開，又會覺得委屈。

這張星雲提醒你，今天適合用柔性的方式處理問題。
不必急著硬碰硬，也不必讓自己消失。
像天鵝一樣，表面安靜，內在仍有方向。",image/star30.jpg
Galaxy NGC 2768／NGC 2768 星系,安靜的表面下，也可能藏著正在運轉的力量。,"NGC 2768 看起來柔和、朦朧，像一片淡淡的光霧，沒有強烈的邊界。
它象徵內斂、沉默，也象徵不急於表現的力量。

今天你可能不想太張揚，也不想解釋太多。
有些事情你心裡明白，但還不想說出來；有些決定正在形成，但還沒到公布的時候。

這張星雲提醒你，沉默不代表沒有進展。
有時候，真正的力量不是用聲音證明，而是在安靜中慢慢穩定下來。",image/star31.jpg
Sombrero Galaxy／草帽星系,光越明亮，越需要承認那道陰影的存在。,"草帽星系中央明亮，外圍卻有一道深色塵埃帶橫亙其中，像光與影同時存在。
它象徵自我形象、內在陰影，也象徵你正在學習接受自己的完整樣子。

今天你可能會特別在意別人怎麼看你，或想把某些不完美的部分藏起來。
但這張星雲提醒你，陰影不是缺陷，它也是你的一部分。

真正的穩定，不是只展現明亮，而是能夠承認自己也有疲憊、矛盾和不確定。
當你不再急著遮掩，反而會更有力量。",image/star32.jpg
Galaxy NGC 7674／NGC 7674 星系,有些偏移，不是偏離，而是被另一股力量喚醒。,"NGC 7674 的形狀受到伴星系影響，像原本的軌道被輕輕拉動，開始出現新的變化。
它象徵外在影響、關係牽動，也象徵被改變後的重新調整。

今天你可能會因為某個人、某句話或某件事，而重新思考自己的方向。
這種被觸動的感覺，可能讓你不太安穩，但它不一定是壞事。

這張星雲提醒你，有些改變不是因為你不夠堅定，而是生命正在透過外界提醒你：
原本的路，也許可以有另一種走法。",image/star33.jpg
Galaxy Cluster Abell 1689／阿貝爾 1689 星系團,真正的重量，有時不是壓迫，而是讓光彎曲成新的道路。,"Abell 1689 是龐大的星系團，巨大的引力讓遠方的光產生扭曲。
它象徵壓力、責任，也象徵因重力而改變的視角。

今天你可能會感到某種沉重。
可能是工作、課業、關係，或一件長期放在心上的事。

但這張星雲提醒你，壓力不只是讓人下沉，它也可能讓你看見原本看不到的角度。
當事情變重，你才會知道什麼值得留下，什麼其實可以放掉。

不要害怕被現實拉住。
有時候，重量也是一種校準。",image/star34.jpg
Interacting Galaxies AM 2026-424／交互作用星系 AM 2026-424,當兩個核心相遇，新的面貌會從碰撞中誕生。,"這張圖像一張宇宙中的臉，兩個明亮核心像眼睛，周圍被藍色星光環繞。
它象徵對照、映照，也象徵人與人之間強烈的互相影響。

今天你可能會在某段關係中看見自己的樣子。
對方的反應、態度或選擇，可能像一面鏡子，照出你平常不容易察覺的部分。

這張星雲提醒你，不要只把焦點放在對方做了什麼。
也看看自己被觸動的是哪裡。
有些碰撞不是為了破壞，而是讓新的理解長出來。",image/star35.jpg
Interacting Galaxies Arp 142／交互作用星系 Arp 142,有些變形，是因為生命正在學習新的姿態。,"Arp 142 呈現兩個星系交會後的奇特形狀，像一種被拉扯後形成的新生命。
它象徵轉化、適應，也象徵在關係或環境中被重新塑造。

今天你可能會覺得自己不像平常的自己。
也許是被某件事影響，也許是某段關係讓你改變了原本的節奏。

這張星雲提醒你，不要急著把變化視為失控。
有時候，生命會先讓你變得陌生，然後才帶你靠近真正適合自己的樣子。",image/star36.jpg
Ant Nebula／螞蟻星雲,真正的釋放，會從核心向兩側展開。,"螞蟻星雲有對稱而強烈的結構，像能量從中心向外噴發，形成細緻又奇特的形狀。
它象徵釋放、排出，也象徵長久壓抑後的展開。

今天你可能會感覺某些情緒、壓力或想法終於到了不能再藏的時候。
也許你需要說出來，也許你需要離開某個狀態，也可能只是需要讓自己好好休息。

這張星雲提醒你，壓抑不會讓事情消失，只會讓內在越來越緊。
給自己一個出口，能量才會重新流動。",image/star37.jpg
